Date,open,high,low,close
1/4/05,995.341,995.341,982.593,984.398
1/5/05,983.513,1000.139,983.23,997.134
1/6/05,997.624,997.624,984.555,987.528
1/7/05,986.91,1000.401,984.028,989.611
1/10/05,989.121,998.967,985.737,998.967
1/11/05,999.142,1003.403,994.984,1001.779
1/12/05,998.795,1001.3,993.283,1001.3
1/13/05,1000.534,1004.491,998.062,1002.702
1/14/05,1002.488,1009.075,992.085,992.284
1/17/05,983.124,984.26,968.58,970.812
1/18/05,970.495,980.544,965.918,980.544
1/19/05,980.222,980.222,971.874,974.092
1/20/05,970.523,970.523,957.806,962.024
1/21/05,960.481,984.274,948.657,984.274
1/24/05,996.023,1001.74,990.688,1001.43
1/25/05,998.963,998.963,986.735,997.723
1/26/05,993.67,997.4,987.812,988.751
1/27/05,986.565,986.565,972.954,973.29
1/28/05,973.29,973.424,959.529,962.246
1/31/05,958.52,958.52,940.515,941.299
2/1/05,939.16,949.896,936.215,937.55
2/2/05,937.728,987.942,937.728,987.942
2/3/05,986.846,992.521,971.652,972.193
2/4/05,971.321,995.414,969.442,992.605
2/16/05,998.382,1009.104,995.345,1000.771
2/17/05,1001.047,1001.128,990.848,1001.128
2/18/05,1000.784,1000.784,987.584,987.637
2/21/05,988.053,1006.17,988.053,1006.17
2/22/05,1007.168,1029.663,1005.43,1029.043
2/23/05,1029.421,1036.788,1023.127,1031.987
2/24/05,1030.517,1034.488,1024.35,1034.488
2/25/05,1035.006,1046.97,1035.006,1035.396
2/28/05,1034.734,1036.567,1026.445,1030.365
3/1/05,1029.835,1032.908,1022.139,1028.346
3/2/05,1028.607,1035.857,1013.18,1013.528
3/3/05,1011.861,1019.6,1005.896,1019.344
3/4/05,1019.484,1021.8,1012.578,1013.949
3/7/05,1014.659,1020.035,1014.12,1019.025
3/8/05,1021.655,1038.901,1021.655,1038.901
3/9/05,1041.21,1044.1,1033.081,1038.784
3/10/05,1038.849,1038.849,1011.085,1013.799
3/11/05,1012.307,1019.086,1008.62,1018.754
3/14/05,1018.512,1028.704,1004.778,1019.298
3/15/05,1019.213,1019.213,1002.456,1003.893
3/16/05,1002.443,1002.443,988.047,993.925
3/17/05,992.784,994.437,982.395,982.481
3/18/05,981.241,984.331,962.951,965.946
3/21/05,964.441,969.136,959.202,968.006
3/22/05,967.333,967.333,942.422,946.215
3/23/05,944.887,958.077,938.143,942.915
3/24/05,941.489,950.122,933.271,950.122
3/25/05,949.81,952.075,945.326,948.206
3/28/05,946.896,946.896,931.472,943.827
3/29/05,943.407,950.575,937.942,938.151
3/30/05,935.81,935.81,915.908,916.088
3/31/05,914.122,922.096,907.656,922.096
4/1/05,921.396,965.146,915.718,955.985
4/4/05,947.015,949.818,938.849,939.433
4/5/05,937.84,942.452,930.958,932.209
4/6/05,932.209,950.441,924.954,948.751
